id,bookmaker,home_team,away_team,commence_time,odds,odds_with_commision,sport_key,guessed_outcome,betAmount,kellyBetRatio,halfKellyBetRatio,bookmaker_average_odds,number_of_bookmakers,outcome,alpha
e75bde63373052bfcdbf4ddb33679908,betfair_ex_uk,Alex Michelsen,Karen Khachanov,2025-08-05 02:00:00+00:00,1.48,1.48,tennis_atp_canadian_open,H2hOutcome.A,10,0.10342789598108751,0.051713947990543754,1.41,16,,0.033544182480352736
63de27985bb8d49c20edd78eb857edd0,betfair_ex_uk,Los Angeles Dodgers,St. Louis Cardinals,2025-08-05 02:11:00+00:00,1.63,1.63,baseball_mlb,H2hOutcome.H,10,0.060661207158022264,0.030330603579011132,1.57,15,,0.023445742643898204
500419e71bd22df6a17c77db71568c45,betfair_ex_uk,Malmo FF,FC Copenhagen,2025-08-05 17:00:00+00:00,2.68,2.68,soccer_uefa_champs_league_qualification,H2hOutcome.A,10,0.04800307219662067,0.024001536098310336,2.48,11,,0.03009147809340401
8139c67ccf804e6696af1fbbd570614b,betfair_ex_uk,London Spirit,Oval Invincibles,2025-08-05 17:30:00+00:00,2.4,2.4,cricket_the_hundred,H2hOutcome.H,10,0.04761904761904753,0.023809523809523767,2.25,10,,0.027777777777777735
21d9802ec71935061a7f39c1f7e5829f,betfair_ex_uk,KF Shkëndija,Qarabağ FK,2025-08-05 18:00:00+00:00,1.74,1.74,soccer_uefa_champs_league_qualification,H2hOutcome.A,10,0.09563409563409568,0.04781704781704784,1.625,10,,0.040671971706454535
c6c65c193d376e6b5103f02d75f969e3,betfair_ex_uk,Dynamo Kyiv,Pafos FC,2025-08-05 18:00:00+00:00,1.83,1.83,soccer_uefa_champs_league_qualification,H2hOutcome.H,10,0.09213323883770383,0.046066619418851915,1.7,11,,0.04178720668595315
b2e2e2a70004bef7ef7519e48a57803b,betfair_ex_uk,Rangers FC,Viktoria Plzeň,2025-08-05 18:45:00+00:00,2.02,2.02,soccer_uefa_champs_league_qualification,H2hOutcome.H,10,0.0351935646053294,0.0175967823026647,1.9499999999999997,11,,0.01777100787001784
6abfa28936dfb491fcbab36c319007f7,betfair_ex_uk,Madison Keys,Clara Tauson,2025-08-05 22:00:00+00:00,1.8,1.8,tennis_wta_canadian_open,H2hOutcome.H,10,0.09730538922155703,0.048652694610778514,1.67,16,,0.043246839654025315
56a1d1e826ce6faf64197f46c1d2f209,betfair_ex_uk,New York Liberty,Dallas Wings,2025-08-05 23:00:00+00:00,1.24,1.24,basketball_wnba,H2hOutcome.H,10,0.1388888888888891,0.06944444444444454,1.2,7,,0.026881720430107503
69a232fecbb5d79c45421ee50d08d6ad,betfair_ex_uk,Andrey Rublev,Taylor Fritz,2025-08-05 23:00:00+00:00,1.5,1.5,tennis_atp_canadian_open,H2hOutcome.A,10,0.09059233449477333,0.045296167247386665,1.435,16,,0.030197444831591147
3ebce2e3141205d0004e92bfce742c77,betfair_ex_uk,Toluca,New York City FC,2025-08-05 23:30:00+00:00,2.0,2.0,soccer_concacaf_leagues_cup,H2hOutcome.H,10,0.08108108108108092,0.04054054054054046,1.8500000000000003,12,,0.04054054054054046
e874ccc72c6e552bc5c0489ff351d105,betfair_ex_uk,Columbus Crew SC,León,2025-08-05 23:30:00+00:00,1.45,1.45,soccer_concacaf_leagues_cup,H2hOutcome.H,10,0.11272141706924342,0.05636070853462171,1.38,12,,0.03498250874562725
45e729833e1e327c50ecab852c8fd956,betfair_ex_uk,Elina Svitolina,Naomi Osaka,2025-08-05 23:30:00+00:00,1.75,1.75,tennis_wta_canadian_open,H2hOutcome.H,10,0.07228915662650619,0.036144578313253094,1.66,16,,0.030981067125645523
